Tipo,Ejercicio,Pecho-Pectoral Superior,Pecho-Pectoral Medio,Pecho-Pectoral Inferior,Hombro-Deltoides Anterior,Hombro-Deltoides Medio,Hombro-Deltoides Posterior,Brazo-Tricep,Brazo-Bicep,Brazo-Antebrazo,ESPALDA-DORSAL,ESPALDA-REDONDO,ESPALDA-SACROLUMBAR,ESPALDA-TRAPECIO,PIERNA-GLÚTEO,PIERNA-CUÁDRICEPS,PIERNA-FEMORAL,PIERNA-GEMELO,TORSO-SERRATO,TORSO-OBLICUO,TORSO-ABDOMEN SUPERIOR,TORSO-ABDOMEN INFERIOR
Secundario,Cuádriceps-Prensa de piernas inclinada,,,,,,,,,,,,,,3,3,3,,,,,
Secundario,Cuádriceps-Sentadilla hack,,,,,,,,,,,,,,3,3,3,,,2,2,2
Auxiliar,Cuádriceps-Extensión de rodillas en máquina,,,,,,,,,,,,,,,3,,,,,,
Auxiliar,Cuádriceps-Abductores en máquina,,,,,,,,,,,,,,,3,,,,,,
Auxiliar,Cuádriceps-Aductores en polea baja,,,,,,,,,,,,,,,3,,,,,,
Auxiliar,Cuádriceps-Flexión de piernas en silla romana,,,,,,,,,,,,,,3,3,,,,,,
Primario,Femoral-Peso muerto piernas semirrígidas,,,,,,,,,,,,3,,3,,3,,,,,
Primario,Femoral-Peso muerto con barra,,,,,,,,,,1,1,3,2,3,3,3,,,2,2,2
Primario,Femoral-Peso muerto estilo sumo,,,,,,,,,,1,1,3,3,3,3,,,,,,
Primario,Femoral-Peso muerto rumano,,,,,,,,,,1,1,2,1,3,,3,,,2,2,2
Auxiliar,Femoral-Curl de pierna acostado,,,,,,,,,,,,,,,,3,3,,,,
Auxiliar,Femoral-Curl de piernas alterno de pie,,,,,,,,,,,,,,,,3,2,,,,
Auxiliar,Femoral-Curl de piernas sentado en máquina,,,,,,,,,,,,,,,,3,2,,,,
Secundario,"Femoral-Flexión del tronco al frente o ""buenos días""",,,,,,,,,,,,3,,3,,2,,,,,
Auxiliar,"Gemelos-Elevación de talones de pie, en máquina",,,,,,,,,,,,,,,,,3,,,,
Auxiliar,Gemelos-Elevación de un talón con mancuerna,,,,,,,,,,,,,,,,,3,,,,
Auxiliar,"Gemelos-Gemelos en máquina, peso sobre la pelvis",,,,,,,,,,,,,,,,,3,,,,
Auxiliar,Gemelos-Extensión de talones sentado en máquina,,,,,,,,,,,,,,,,,3,,,,
Auxiliar,Gemelos-Elevaciones de talones sentado con barra,,,,,,,,,,,,,,,,,3,,,,
Secundario,Glúteos-Zancadas,,,,,,,,,,,,,,3,3,2,,,,,
Auxiliar,Glúteos-Abductores sentado en máquina,,,,,,,,,,,,,,3,,,,,,,
Auxiliar,"Glúteos-Abducción de la cadera, acostado",,,,,,,,,,,,,,3,,,,,,,
Auxiliar,"Glúteos-Abducción de la cadera, de pie en máquina",,,,,,,,,,,,,,3,,,,,,,
Auxiliar,"Glúteos-Abducción de la cadera, de pie en polea baja",,,,,,,,,,,,,,3,,,,,,,
Auxiliar,Glúteos-Elevación de la pelvis en el suelo,,,,,,,,,,,,,,3,,3,,,,,
Auxiliar,Glúteos-Patada de glúteos en el suelo,,,,,,,,,,,,,,3,,2,,,,,
Auxiliar,Glúteos-Extensión de la cadera en máquina,,,,,,,,,,,,,,3,,2,,,,,
Auxiliar,Glúteos-Extensión de la cadera de pie,,,,,,,,,,,,,,3,,,,,,,
Auxiliar,Glúteos-Extensión de la cadera en polea baja,,,,,,,,,,,,,,3,,2,,,,,
Auxiliar,Glúteos-Tijeras estáticas,,,,,,,,,,,,,,3,2,2,,,,,
Auxiliar,Glúteos-Tijeras con barra,,,,,,,,,,,,,,3,2,2,,,,,
Auxiliar,Glúteos-Tijeras con pica,,,,,,,,,,,,,,3,2,2,,,,,
Auxiliar,Glúteos-Tijeras con mancuernas,,,,,,,,,,,,,,3,2,2,,,,,
Auxiliar,Glúteos-Tijeras sobre banco,,,,,,,,,,,,,,3,2,2,,,,,
Auxiliar,Glúteos-Elevación lateral de pierna,,,,,,,,,,,,,,3,,,,,,,
